id	tweet
B1889	me: GHOST's CAMO sucks. yall: GHOST just sucks tbh :/ me: FUC K YOU HE'S FINE. HE LOOKS LIKE A TEDDY BEAR???
B1938	@USER Wow! Nasty man! Personal insults do not become you. He has really riled up the liberal lefties and it’s fantastic to watch
B1952	i thought he was a goat-man hybridWhy do we have the mentality that Jesus is white and Satan is black?
B2015	@USER Grab’m by the pussy!
B2048	@USER Back to Somila. You hate America. You hate her people. You promote terror. We don't need you.
B2114	Caught that fool Mario Lemos sucking dick behind the baby momma projects in grants with my $40 for some meth!!!! 😂💀
B2198	@USER To be expected, he is a slut, after all. Anything else?
B2252	@USER @USER Distorted?!! 🤣🤣 @USER you mean he exposing all the lying rat politicians getting Rich off their own! #CNNsucks
B2259	@USER this tweet is replete with poor grammar.Donald Trump’s mind is infested. With racism, with misogyny, with lies, with bigotry, with hate.
B2260	kill urself in the fields, be with the fiends
B2265	love how girl group stans now suddenly hate gfriend on god you guys hate EVERYTHING to do with bts just shut up and go 😭🤚
B2276	@USER He's ripped the taxpayers off for over 100m dollars playing golf at his own properties. But nice try moron.
B2300	Soz but if you don’t like dnb you’re boring
B2317	@USER Shut up. You’re supposed to be the leader of this country. You have no idea what that means.
B2319	I wish some people could just let things go and move on, but y’all are too immature for that.
B2390	911? yes, i'm sorry, rokurou got his dick stuck in the ceiling fan again
B2432	@USER utter rubbish, contacted you because of a defective product, got a response but no response to my follow up emails
B2475	@USER @USER I'm sure they won't stop until they lose all power. The idiocy of the left is astounding
B2512	@USER What a complete waste of good oxygen this fool is. And he’s nowhere near as good at the lying and obfuscation as his boss.
B2513	juju really be the purest form of entertainment on twitterpussy hit different when she got a dick too
B2561	"Keep up with that  “أسلوب زفت""  and watch me trash you ."
B2574	@USER This is an outright lie and I am about to expose you YET AGAIN for the shameless liar that you are!
B2656	@USER @USER You mean to say that he is such a pathetic actor that even his low character is better than his acting skills ?
B2666	I’m only half black, so half the time I want a black women half the time I want Spanish pieceHow you black man &amp; don’t want a black woman lol what’s wrong wit ya
B2684	@USER @USER Shut up what is ur contribution then she is pride of ummah and dauhter of ummah u such a cheap hyprocrate
B2778	@USER @USER Then John can show you his sick dance moves.
B2794	@USER @USER Dworkin LIES or he is deranged and UNHINGED. This is manufactured, misinformation/disinformation.
B2819	I hate those females that think just because you stopped talking to them “it’s beef” like never that I just be to mf busy.
B2827	@USER Trump is so awful he makes Al Sharpton look like a leader.
B2829	@USER Not ashamed to say it, but i jacked off to the thought of having sex with this guy. What i wouldnt do to go to bed with him
B2854	cix can literally come out with a song like banana allergy monkey and jinyoung would still find a way to hoe it up i’m sick of him
B2871	"""And when it drop your pants and bounces down I call that a knon drop. ""when the tip of your penis peeks from your waist band i call that a tip slip"
B2879	@USER @USER Yeah! You right, he has done more stealing (from the poor) than any black politician.
B2937	@USER LOL we all believe Muller. Regardless of your little dick temper tantrums.
B2961	@USER You are undemocratic and a traitor.  Would you like us to celebrate you?  Act like a patriot and you'll be treated as such.
B2994	@USER The only person to unseat Putin would be someone who is immune to his poisons. What a disgusting example of a human being.
B3000	honestly molly-mae is so fake i feel so bad for tommy that he can’t see it.... fake leading the blind #LoveIsland
B3092	Just my luck to have a 20 stone fat knacker snoring his head off down my ear all the way to Egypt
B3111	@USER @USER If you're going to call someone a #dickhead check your spelling first #dickhead. It's you're not youre.
B3118	@USER Idk why people like him he’s pathetic ugly and he can’t sing
B3134	@USER He knows his days are numbered so going to cause as much trouble as possible now. Twat that he is!!
B3188	Y’all literally go to TSR to read comments that will make you mad. That’s toxic behavior.
B3222	@USER I thought Caleb got a tat of his dad who passed in combat? Is this redneck guy you're describing some other guy?  what ever
B3237	@USER The whole team &amp; management is a disgrace!
B3340	@USER The male in this video is despicable. He cannot be called a man. He is an embarrassment to ALL canadians.
B3359	#morningjoe asking republicans to rein in #Trump is like asking Satan to be the opposite of evil. Ain't gonna happen.
B3364	@USER @USER @USER You sound just as crazy as he sounds
B3375	@USER No. The response is, his district is disgusting and rat infested. Tons of video and pics to back that up.
B3413	Learn to flex your own self bbgirl. Boys are sh*t
B3435	Wanna stick my dick in a bean burrito just to see what it feels like hours.
B3448	@USER Joy, just stop. Pulling the RACE CARD doesn’t work anymore. You Democrats killed that. Fix your face and be quiet.
B3497	@USER God I want to oil up that sexy body up and have my filthy way with you sexy xxx 😍👿💦😍👿💦
B3507	I ain’t gone Lie - I’m bout eatin dat Pussy!!!! 👅👅👅💦💦💦🍑💦💦💦 #imCutLikeDat 💪#ForeignLuv
B3515	Nate Jacobs is the worst person I know he can honest to god go die in a ditch
B3533	@USER He's a drug dealer, pimp, thief and pedophile !!!!!!
B3538	@USER I don’t  So far as you can recognize your Dad aa trash there’s no need to be talking to you
B3548	@USER @USER Your a Tory in disguise once a liar always a liar the lib dems help cause austerity with the Tories
B3575	"@USER @USER ""boy"" or ""man"" I don't care. He is a slimy and disgusting human being."
B3592	To turbo charge #NHSPeoplePlan more than anything else, fire some prominent toxic narcissists and psychopaths in the NHS.
B3626	@USER I can tell you that basically in the entire European Union, everyone thinks Trump is a complete moron and a Nazi.
B3641	@USER I need to get in that tight pussy again.
B3645	@USER @USER I've blocked everyone even remotely connected with these scum. They are all incorrigible.
B3697	Folks that believe in talking donkeys and flying horses are mocking folks that believe that the white guy is Jesus sha.
B3746	@USER Grosjean is a twat.
B3786	@USER Trump is a clown and I hate the circus.
B3787	@USER @USER @USER Never followed this Mir Jaffar at first place. He is a traitor .
B3824	I’d have sex with a missionary but it would be so boring.
B3829	@USER Spoiler alert.. George was set up by the corrupt Dems and Hillary, just like President Trump! #FisaBringsDownTheHouse
B3866	Be mild, pleasant and lenient with him who is harsh, gross, and strict with you; gradually he will turn to your behaviour.
B3880	I hardly take pictures of myself because I'm an ugly duckling 😔Sexiest men are the ones that hardly take any pictures of themselves 🤤 all you guys posting pics every day are like common prostitutes
B15	#bbnaija Tacha will sit on the bed like one fat dirty Alhaja and be dishing orders. Can't stand that psycho!
B37	2019 been super great to me but 2020 I’m turning this shit up a few notches
B46	All this dude talks about is sucking toes, I wish someone would just shove their foot in his dutty mouth
B73	I hate when public WiFi don’t connect like bitch get some security for all that
B84	Is it bad I didn’t know what they were until Boats n HoesWhy are we all taught the names of christopher columbus's ships? who gives a fuck
B121	@USER @USER And there I fear is the root of the issue.  @USER  believe's himself to be regal (and not shit at golf)
B128	@USER @USER @USER You keep your filthy well reasoned perspective off the god damned internet!
B134	@USER @USER Could be wrong but I think that’s the other guy’s face just using our guys dick pics.
B157	@USER It’s such a pain in the ass
B168	@USER @USER CC, GET THE PEROXIDE OUT OF YOUR VEINS!  HE IS SO STUPID, HE DOESN'T EVEN KNOW HE'S STUPID!
B169	It’s always that 1 bitch that wanna be related to everybody
B181	@USER @USER Donald Trump is to blame. He has been perfecting his racist tactics for decades, and now we see the result.
B203	@USER @USER @USER @USER And then there is the idiot troll Clay
B209	@USER that was so wrong like bitch go be with anna.....
B214	WAHT THE FUUCK THEY ARE COMING TO LA FUCK THIS SHUT IM GOING TO WORK
B234	Being paired with Alexa literally saved Nikki’s ass. If it wasn’t for her, she would be jobbing at Main Event like Sarah Stenchgan.
B242	Of course the psycho in the Oval office flips his racist ways and blames Obama. Same old Trump
B250	I know i ain’t suppose to be laughin but...😂They shot Yung Miami car 14 times?? That’s some wild shit she better keep her baby glock on her at all times rn.
B273	@USER You are the most pathetic selfish person on the planet. You are a disgrace and a stain on our great country.
B274	@USER That’s a lot of ass filled by hamberders to cover.
B289	If i go away it’s bc I don’t have data bye bitch ✌️
B310	Who intrudes in the lair I swear u the dumbest man I salute that you dare.
B311	i need some wild/fun moves to do in atlanta!! i dead need a gooood ass memory
B313	He is gonna need those soup blowers where he is goingRaise your hand if you're sick and damn tired of James Comey flapping his soup blowers and you want the treasonous, traitor to just STFU.
B323	@USER I started noticing he was a fraud when he traded Shady for Kiko fucking Alonzo.
B326	That. Ain’t. Got. Shit. To. Do. With. Me. Idc who came before me, it’s IRRELEVANT.cause I’ve been bitched about it before   Do you feel it’s a must to disclose who’ve you slept with to someone during the talking stage?
B328	@USER No bcus I know you're not willing to pay for some petty ass gossip on Twitter.
B331	@USER You’re part of the problem and you’re inciting hatred and violence with your rhetoric.
B332	@USER We are calling you out for you blatant lies that are causing irreparable damage to this great nation!  Shut your mouth!
B343	I came across that girl in the wheelchair twerking Instagram &amp; im not going to hell so no comment ☠️
B360	@USER Sensible people know it’s another psyop hoax. And they know you’re a shill, Bill.
B366	@USER Lol chopsticks is for lo mien and sushi ...my ass would be picking up the rice one by one 😂😂
B372	@USER @USER Just stop. He is mentally ill and dangerous to the whole World. Full stop.
B384	What only few days i dont use twitter, 24 followers unfollow me Really this is disgusting and cheating😕😕
B422	If you're in a bad mood don't be fucking rude to ME
B427	it's a bit hard to pack for a few days away when you have literally no clothes fuck sake helppp
B437	I want a whole fucking anime for Kagura, Sougo and Nobume.
B443	Oh my fucking god I just found one of the first songs I've ever written from 2012 and it's funny I can't
B447	Your the worst type of person if you don’t smile back at old people
B454	mannnnn fuck bowser,always kidnapping the princess and junk. find something else to do with your life you dumb turtle
B459	@USER U r the racist
B460	I’m so use to making excuses for everyone, I’m tired of the same shit.
B483	@USER Like damn it look nice but who sweeping all them up 🤨
B491	Snitching and shitThere’s always 1 ass kisser at a job &amp; they’re always so extra. &amp; the office ass kisser &amp; I NEVER get along.
B493	@USER @USER That top don't know what to do with all that ass 😂😂😂
B494	My biggest problem is wanting to totally influence every decision but don’t like making the final call, shit catches up to you everytime
B495	@USER What I like about her is it envokes the punk ethos. I think it's so shit I could do this!
B510	Getting really tired of explaining the same shit, to the same ppl.
B524	Money first, woman second and you hoes is last, cuz I dont wanna fuck if I know I can.
B537	I feel like "Lose Yourself" by Eminem would be really bad if the starting lyric was "His balls are sweaty" instead of "His palms are sweaty"
B541	@USER "Please read this and VOTE to get the MF GOP out of our lives...please don't just toss me in the trash."
B542	@USER You are weak and wrong. White, Black, yellow or any other color of supremacy is evil.  You aren’t fooling the patriots.
B545	This why I don’t have friends 😂 this is fucking why
B546	Shit just kinda pissed me off, fuckin neighbors always parking in front of my crib
B561	She keeps her guard up because most guys just want to fuck and waste time..
B567	@USER Wings over and it’s not even a question (sweet chili &amp; Jamaican jerk hanger)
B568	this is the stupidest most dumbest flex i’ve ever seen her mum should’ve slapped the shit outta her
B575	Yu Hate To See ItBitches will deadass lead you on &amp; go back to they ex😂
B576	Can someone please jump her ass
B599	We can all now agree “ALL” of @USER supporters much be crazy ass mass murders, right? Isn’t that how this works?
B603	@USER I’m a Cowboy fan and even I be having to turn that shit off
B626	@USER @USER No they don’t, but @USER seems to be a little bit of a hypocrite
B636	IG is fucking up, showing msgs of people I have blocked...It’s like that for a reason why can I see the msgs😒
B649	@USER It completely chaps Emperor 🚽's ass that President Obama won't say his name.
B658	@USER Another BJP prospect good hope all the scum go
B664	And that’s the tea sisU can’t like a nigga until he love U
B686	After a while you get tired of hearing the same old shit about someone.
B695	Haven't been up even an hour yet and I'm already over this fucking day
B696	@USER Who wanna be in a crackhead ass kpop groupchat where we don’t have fan wars and support eeveryone 🥺✌🏼?????
B699	Story of my life 🙂My parents always say “don’t over do it” before I go out drinking and guess what I do? Over fucking do it
B707	@USER “You wanna fly, you got to give up the shit that weighs you down.”  TM
B712	It would be really hard for a casual stranger interaction  or bother me to my core. I’m only bothered when I let disrespectful shit slide.
B722	I’m too old for this shit and I don’t care at all for the other bands but I might go anyway
B732	@USER The big issue that I'm seeing is that endgames at the new tilted are gonna be shit
B740	I know a lot of shit. And tbh I don’t know how I know so much cuz I don’t read itNo cocky shit, what’s your biggest flex???
B741	Doing weird shit must be the new wave y’all on now
B773	I really wanna leave eddie at this point... it’s ridiculous to snooze your alarm 4 fucking times and wake me and Aly up. I’m done.
B785	@USER Grandma, of Dispatch actually side w yg, why the fuck they need to release bi scandal? Explain pls?
B786	@USER @USER Wow you sure are quick to point out that fact , what about ALL the rest of the mass shootings? Fucking Imbecile
B791	1hr37mins and I’m ready to fucking leave work 😭
B813	Damn Three Houses is wild.
B814	Crazy that as we get older and go through certain shit you just want to keep it to yourself.
B822	now they making me mad lol cse they wanna go black power on me lol  im ready to leave work and go live lol cse they blowing me
B838	Feel like I’m really becoming the person I’m meant to be it’s fucking crazy
B851	Brad is going to call the cops on me for hurting his feelings@MeowyFanAccount Are you calling me a Nazi? It looks like you aren't too smart. Ill have to report this.
B855	@USER You shouldn’t be a Senator with that hateful propaganda spewing out of your mouth. Resign!  Women for Trump! 🇺🇸❤️
B858	@USER You know that tweet that’s like “ima let my nigga do whatever cus when it’s my turn he gon need a perc”? Yeah
B866	Have to change my username and all as somebody’s stalking me! The Fuck!!!
B869	@USER Uh. Racism is popular again because of the current ass cunt in the oval.
B894	fuck this shit. the weather was nice all day and as soon as i go out it starts fucking raining. i’m soaked. FUCK!
B904	Some people hate the truth, but i really don’t give a shit lol
B912	Fucking hell. I don’t actually know.Poll for an emotionally raught fandom. Make your choice:
B943	lmao they need to know that they shouldn’t let a man tear women down like that ✊PETITION FOR JULIA AND BEA TO STOP DRAGGING EACH OTHER AND JUST TAG TEAM TO END GERALD'S ASS
B951	@USER It's the ones who don't know they're crazy who are the really crazy ones.
B959	@USER this is the wildest shit i've heard in my life rjfj8q9rj2g9g i need a drink and it's only 7
B964	i may be blocked on everything but if my ex is still as crazy as i remember i know she gotta be lurking on my shit.. have you ate baby? 😭🤣
B968	@USER R U fucking for real. Don't compare Obama to Trump ever. Apples and Oranges.
B976	@USER This is the same Hate bottled up in the Communist Democrats. Always destroying. Never building up. Never Peace!
B978	Rihanna let that white man breed her?? I know yall fuckin lying
B980	I can’t see why people don’t fuck with others male/female with kids what’s the problem if their not yours
B985	I'm turning 32 next month and I just want this struggle shit to be over. That's it. That's my birthday wish. I'm just tired.
B989	the only person video games has ever made me want to kill is myself so trump can stop being a clown tbh lmfao
B993	@USER When you shit your pants and try to pass it off as a shoe squeaking...
B994	What is all this bullshit about white supremacy.  I’m white and proud of it
B1001	Me: *wants to make a bunch of animated shorts* Also Me: *can’t animate for shit*
B1003	Let them not find my shit it’s gon be hell on me!
B1012	@USER And they want to kill more for fun,disgrace!!
B1081	i need this girl to acquaint her ass with my face real quick
B1086	@USER Y'all got idiots over there at NBATV placing Kobe in the same sentence as PG. Just flat out idiots 😫
B1128	And his little strong ass can flip over now.
B1133	don't fuck with me like this, allow itBreaking | Philippe Coutinho is joining Arsenal on loan from Barcelona, according to @USER.
B1141	@USER @USER I think he comes in for Ozil mate. Emery doesn’t fancy him one bit. Not surprised with his fucking eyes.
B1147	@USER You need mental help sir. You are full of rage and hate. You are truly the racist.
B1153	Shit is getting too deep n’ a sand nigger can’t swim so drowning is the only option
B1182	Honestly. I can’t wait to lead a man on for years then turn my back at the alter just for fun. He’ll get over it.gettin fucked over by the nigga you really fucked with will turn you cold af.
B1184	@USER Let’s just go all out and have the thought police surround his ginormous fat head! We’d all be safer then!
B1185	WHO FUCKING TAUGHT UMI AND BIKA TO CURSE IN FILIPNO?
B1188	I’m so nosy there is not one but two police officers pulling over a woman in a fucking ford sedan at the speedway where I’m getting gas.
B1210	The stupid weird flex part of the game but imma mind my business lol.@Tash_NoChill @USER What part of the game is it where you pay for people that are insulting to you?
B1226	@USER Notice what is hanging above his window. Keeps his gun close and his lobbyist closer. Disgusting little man.
B1228	@USER I fucking hate that movie so much, we need to delete it from history.
B1230	Real nigga at heart , I’m just in a female body! I don’t act like half of these hoes.
B1234	If you in my life rn.. I FUCK WITH YOU HARD. The cut off was real this year.
B1235	@USER Chuck's been eating out of his toilet again....
B1239	Idk what to do at this point I’m actually in so much fucking pain 😫ah why is it so hard to be a woman
B1250	I will suck your titty mid conversation. That doesn't mean stop talking, it just means I'm suckin on your titty now.
B1276	Modi is going to die a painful death as he's has always the dead people of Kashmir blood on he's hand.
B1278	@USER no bullshit me and my niggas out the 6th ward used to do this growing up
B1307	why why why why why why why WHY why is jungkook just so fucking gorgeous
B1312	Life is too short to hold on to pain or doubt. Bury that shit way down deep and let it come out in your art.
B1324	I been coolin on the crazy coochie. Anything she do make you wanna choke her ass cause the coochie so good lmao
B1333	I think the amount of shit I have is normal until I have to move somewhere.
B1335	Actually worked my arse off for some of it. And there are some retards that do so well and I’m so fucking done with it it’s bollocks
B1340	@USER @USER @USER None of that is true though. You're crazy huh?
B1342	@USER What the hell did I just watch?
B1344	Brandon be on my ass but I swear everything he say be the truth
B1352	@10TV But nothing about hate speech? He is a Trump hate speech enabler.
B1368	I’m so sad, but shit, who could blame Toni Morrison for deciding it was time to go home?
B1369	That’s some high school shitSo niggas lied and said I called this girl a hoe In school. This why I don’t like school man. 😂😂
B1370	Shit crazy to think bout how many friends I’ve lost in my life that claim they always gunna be there 😂😂
B1383	If you think skin care is a purely feminine thing you can ride your crusty ass right into the sunset.
B1388	@USER Y’all got me going out in public &amp; dealing with some obnoxious idiots for you but it’s gonna be worth it
B1411	this is something I see even people I would consider myself friends with doing and this shit actually makes me mad sometimes
B1418	@USER You are a fool, you don't really believe what you are saying do you? You cannot be that ignorant.
B1432	Come on slim. You in the 2nd year of your contract and you holding out. They should cut his weirdo ass
B1454	tHE HOUSE BUNNY IS ON NETFLIX FUCK YES
B1464	Whole problem. We gone go from “they talk” to “oh they engaged” 🥴🤣 ain’t no gfs bihhhhMy problem is I want to go from single to engaged. This dating shit is above me now
B1476	Damn... it’s true. RIP Toni Morrison
B1493	@USER Finally, calling out Obama as the most racist president in recent history! 👍🏼
B1512	I don't like playing games and I hate pick up lines, so I'm just going to ask. Do you like sex?
B1516	$BTC you never use to pump dirty, but now you you 𝗴𝗼𝗱𝗱𝗮𝗺𝗻 disgusting !!  My, 𝙢𝙮 𝙂𝙤𝙙, where'd you learn that?!
B1533	@USER @USER What a stupid question! Stop being a fool and congratulate with one of the best pitchers of the team
B1542	If her boyfriend tells her to stop talking to you...and she tells you he said that, she wants to fuck.
B1543	@USER FOR FUCK SAKE???????
B1569	TANAKA MAKES ME WANNA STAB MYSELF IN THE NECK WITH A SPOON UNTIL I CAN'T FUCKING BREATHE
B1572	Fuck it I just broke down crying because my big sissy Caroline is going to college AND I DONT WANT HER TO
B1574	@USER @USER Ahh yes the thing that happened. Damn shame.
B1577	@USER It means you’re your mental limit. Please talk to somebody, real shit.
B1578	@USER That is literally the funniest shit I seen in awhile.
B1579	Over here cranking to lil Wayne old shit and wow. That’s it wow these new rappers could never.
B1593	@USER When the shit hits the fan and civil war erupts, she’s going to wish she had a card-carrying @USER member behind her back.
B1610	Raise your hand if you think Beto said EXACTLY what we’re all thinking.   "Members of the press, what the fuck?"
B1612	@USER @USER Pathetic pig. "How much he likes me", the amount of lies, narcissism and  selfishness is disgusting
B1620	@USER Get out of our country hate monger...Ice is coming for you...lol
B1628	@USER @USER I know you ain’t talking the only grown thing about you is that big ass head
B1638	I protect my account with the blood of Jesus. I shall not get suspended on these twitter streets.   That shit won’t be funny at all 😭
B1652	@USER Hate him. He is a weasel.
B1655	Harry is a nasty common nome.   Nasty: very bad and unpleasant
B1676	Today’s run ep is so fucking funny gosh now I wanna go to a swimming pool
B1677	Absolutely making a mockery of FFP. What's the point in playing to the rules any more?   Football's fucked.
B1720	Man can’t believe I use to like some of that shit Wayne use to say man lmao
B1744	@USER this is why I think cybernetic enhancements would be sick af. the human body sucks ass
B1763	If you precede something offensive with ‘don’t get offended but...’ I will 100% be more offended and also pissed at you. Fuck you.
B1795	@USER Damn he is YEL unit 😣
B1802	If you had good parents they wouldn’t let you walk around with that Burger King crown on top of your damn head, that’s all I’m saying.
B1809	you was good on the low for a faded fuck on some faded love
B1812	Our ceo wants to be a celebrity, arsenal Ceo using his links and his brain to get shit done, have to respect it
B1813	I can honestly relate to this 😂In the mood to just walk around butt ass naked like the crackheads in nyc
B1852	@USER All that loot and every Tuesday he got some weak ass tacos
B1877	@USER Oh please they act as if it’s a damn Lexus
B1880	seen people call walker overrated, who the fuck rates him that much to be overrated
B1888	@USER @USER Luda got hits and can write he just aint wrote shit in years
B1892	@USER This president is has stupid as a doorknob.... and guns??? How about forbid guns???? Hum ????
B1969	if you MY nigga shouldnt NOOOOO bitch feel comfortable. ever, in her got damn life.
B1982	It’s crazy how people make excuses for them to walk out of a person’s life...
B2003	@USER I saw it and though who the hells cleaning up that shit, I’d be fuming 🤣🤣🤣🤣 rotting petal leaves all over the gaff
B2009	@USER God I must be the one out of the ten that doesn’t, any of my friends and work colleagues reading this you dirty bitches
B2020	@USER Shame on you for trying to capitalize on the blood of the El Paso victims. Your vanity campaign is disgusting.
B2026	@USER @USER The guy in the white cap is a smooth criminal 🙌🏽
B2044	@USER Looks like he's trying to compensate for some kind of inadequacy. Like a murderous idiot wimp.
B2046	@USER Could it be that the racist killer wrote a manifesto that parroted the racist things that the president said?
B2054	Fabinho ain’t going anywhere near Real Madrid folks. Please don’t fall for this end of the window bullshit that’s starting to do the rounds
B2058	@USER What is that old midwest saying? Oh yeah--dumber than a bucket of hair...&amp; beyond insensitive. #GOPComplicit #NoIntegrity
B2061	@USER @USER She is such a monster. With her maniacal witch laugh to make it worse.
B2085	my number neighbors android ass still hasn't texted me back and its been 3 days
B2099	By this point I don’t just want to #ImpeachTrump I want him behind bars!!! Get this criminal out of office He is a danger to this country
B2140	@USER We all know that you're a racist. It is obvious in your message. This has to be the most evident case of you self-owning.
B2147	I talk shit but she know it’s true
B2154	@USER Yes he is a handsome man. And you are an ugly soul.   Bye bitch.
B2174	@USER @USER Watch when he drop this song it’s gone be basic as fuck . Cuz das what he is a basic ass rapper
B2175	all i eat is tomatoes and coconut milk no shit my stomach is screaming
B2188	@USER @USER @USER @USER He is scared!!! Go kick his ass in the election.
B2190	theres nothing better than kicking your crush’s ass in mario kart and having him tell you how hot you are for it afterwards
B2196	You fuck someone from Reading &amp; everyone wants to talk about it, suddenly the whole city in bed with ya’ll. Lmao
B2232	Having a stick up your ass doesn't count as having a spine. RESIST.
B2246	In 1825, some idiot published a version of Coke’s Reports in verse, with each case summarised by a rhyming couplet.
B2253	I am still sticking to Twit and IG but if it really goes shit on me. I'm probably gonna move back to deviantart lol.
B2281	That fake shit gone make me keep my distance!
